V2,V4,X,X.1
CEBPB,GOT1,0.2685483,0.168921342
CEBPB,COX18,0.1649902,0.065133491
CEBPB,GPX2,0.2484174,0.148745707
CEBPB,CHMP4A,0.1728116,0.072972284
CEBPB,CXCL2,0.2994070,0.199848464
CEBPB,HDLBP,0.2361903,0.136491555
CEBPB,HLF,0.1227807,0.022830441
CEBPB,HMOX1,0.7497014,0.651141523
CEBPB,HNMT,0.5917879,0.492877838
CEBPB,HOXA3,0.2027528,0.102979907
CEBPB,HPN,0.3416164,0.242151482
CEBPB,AGFG2,0.2960193,0.196453225
CEBPB,PRMT1,0.1414455,0.041536641
CEBPB,APOH,0.2816080,0.182009914
CEBPB,RBPJ,0.1866668,0.086858233
CEBPB,IGSF1,0.3245461,0.225043265
CEBPB,ISG20,0.3046008,0.205053788
CEBPB,ITPR1,0.3353920,0.235913214
CEBPB,KCNH2,0.1789361,0.079110327
CEBPB,GPR153,0.3131179,0.213589766
CEBPB,LIPC,0.4837850,0.384635347
CEBPB,LMO2,0.3104015,0.210867283
CEBPB,CUEDC1,0.3794644,0.280083388
CEBPB,LTBR,0.3445285,0.245070030
CEBPB,MEIS1,0.1243777,0.024430965
CEBPB,MGST2,0.1195935,0.019636155
CEBPB,MLH1,0.2188012,0.119063876
CEBPB,MMP19,0.2058235,0.106057410
CEBPB,MSH2,0.2263147,0.126593992
CEBPB,MYO7A,0.1834765,0.083660774
CEBPB,ATF3,0.3598592,0.260434752
CEBPB,NFIL3,0.1703223,0.070477434
CEBPB,NFKBIA,0.1146692,0.014700916
CEBPB,NUP98,0.1263555,0.026413108
CEBPB,PAFAH2,0.1207426,0.020787773
CEBPB,PARD6A,0.1316002,0.031669440
CEBPB,WDPCP,0.1461796,0.046281175
CEBPB,APH1A,0.2348793,0.135177575
CEBPB,PCNA,0.3199304,0.220417402
CEBPB,PCF11,0.1855814,0.085770416
CEBPB,MED15,0.1240424,0.024094911
CEBPB,ABCB4,0.3004320,0.200875756
CEBPB,SERPINA1,0.2490758,0.149405641
CEBPB,PIM1,0.5567675,0.457779701
CEBPB,PKLR,0.5669783,0.468013217
CEBPB,PLCG2,0.1891291,0.089325966
CEBPB,PLXNB1,0.3322400,0.232754211
CEBPB,PMAIP1,0.3040980,0.204549813
CEBPB,CXorf40B,0.1268127,0.026871353
CEBPB,POLR2B,0.1680785,0.068228660
CEBPB,HEATR5B,0.1595191,0.059650229
CEBPB,LZTFL1,0.1439349,0.044031491
CEBPB,GTPBP2,0.4111749,0.311864225
CEBPB,SPDL1,0.4273093,0.328034437
CEBPB,TESC,0.2462160,0.146539421
CEBPB,FAM118A,0.2099850,0.110228154
CEBPB,PPP2CA,0.1351154,0.035192492
CEBPB,PRKACA,0.1894012,0.089598691
CEBPB,NDC1,0.4627860,0.363589756
CEBPB,POLR3E,0.1452066,0.045306035
CEBPB,IFT122,0.1532747,0.053392047
CEBPB,LRIF1,0.1473849,0.047489131
CEBPB,MBNL3,0.2862546,0.186666838
CEBPB,PECR,0.2817875,0.182189844
CEBPB,TMEM126B,0.1080280,0.008045013
CEBPB,GSDMB,0.1802696,0.080446828
CEBPB,LIN37,0.1393288,0.039415211
CEBPB,GPCPD1,0.1141576,0.014188209
CEBPB,SLC2A4RG,0.2636240,0.163986104
CEBPB,EMSY,0.1189736,0.019014813
CEBPB,MAN1C1,0.1956835,0.095894909
CEBPB,LYRM1,0.1004969,0.000497151
CEBPB,SLC45A4,0.3705993,0.271198658
CEBPB,HECW2,0.2361299,0.136431030
CEBPB,USP36,0.5148842,0.415803520
CEBPB,QSOX1,0.4902558,0.391120497
CEBPB,VAT1L,0.1879318,0.088125980
CEBPB,NCOA5,0.1036204,0.003627635
CEBPB,CXCL16,0.2421429,0.142457362
CEBPB,PYCR1,0.1820331,0.082214239
CEBPB,KLHL12,0.3030060,0.203455431
CEBPB,RGS1,0.6030699,0.504184813
CEBPB,RHD,0.4493769,0.350150903
CEBPB,RNASE1,0.5711948,0.472238981
CEBPB,RNASE4,0.4731572,0.373983956
CEBPB,RPL9,0.1534489,0.053566649
CEBPB,CEACAM1,0.2329870,0.133281144
CEBPB,RAB17,0.2714497,0.171829083
CEBPB,GMCL1,0.3517167,0.252274131
CEBPB,GZF1,0.2830714,0.183476563
CEBPB,PCNX4,0.2091564,0.109397629
CEBPB,S100PBP,0.1113906,0.011415043
CEBPB,ACD,0.2876653,0.188080701
CEBPB,KIAA0895L,0.1157621,0.015796196
CEBPB,SLC18A2,0.2414609,0.141773863
CEBPB,LRRC61,0.2688190,0.169192603
CEBPB,BRCA1,0.6157837,0.516926815
CEBPB,STAT5A,0.3827967,0.283423055
CEBPB,SULT1A2,0.1702358,0.070390733
CEBPB,TFPI,0.4286454,0.329373484
CEBPB,THBS1,0.6612876,0.562531667
CEBPB,TPD52L2,0.3953158,0.295969957
CEBPB,MORN2,0.1040758,0.004084004
CEBPB,ZNF69,0.5365316,0.437498985
CEBPB,ZNF131,0.1747894,0.074954427
CEBPB,ZNF175,0.1127469,0.012774345
CEBPB,FBXL15,0.2532337,0.153572756
CEBPB,FBXO31,0.2140504,0.114302505
CEBPB,METTL8,0.3244309,0.224927834
CEBPB,HDAC11,0.1080062,0.008023080
CEBPB,PIGZ,0.5083855,0.409290424
CEBPB,DCAF11,0.2424909,0.142806076
CEBPB,SPRY4,0.5716730,0.472718249
CEBPB,SESN2,0.3308435,0.231354672
CEBPB,CASP9,0.1722044,0.072363736
CEBPB,SGIP1,0.4151054,0.315803476
CEBPB,COQ5,0.4488610,0.349633943
CEBPB,MON1A,0.3398485,0.240379664
CEBPB,ABLIM2,0.2055723,0.105805623
CEBPB,PARD6B,0.1089162,0.008935153
CEBPB,ZNF587,0.1011292,0.001130908
CEBPB,CBX4,0.1644636,0.064605757
CEBPB,ZCCHC3,0.2949005,0.195331969
CEBPB,ZC3H12C,0.2052218,0.105454311
CEBPB,BHLHE40,0.1363811,0.036460974
CEBPB,CDC14A,0.2199043,0.120169437
CEBPB,AKR1C3,0.5740567,0.475107252
CEBPB,CDS2,0.1065619,0.006575578
CEBPB,DLK1,0.2188054,0.119068063
CEBPB,ERI1,0.2153071,0.115562023
CEBPB,ASH2L,0.1141014,0.014131870
CEBPB,UBXN11,0.2708688,0.171246918
CEBPB,ITGB1BP1,0.1705771,0.070732850
